,video-id,t-start,t-end,label
0,video_test_0000004,0,1,5
1,video_test_0000004,11,12,5
2,video_test_0000004,19,21,5
3,video_test_0000004,28,30,5
4,video_test_0000004,1,2,6
5,video_test_0000004,21,22,6
6,video_test_0000004,30,32,6
7,video_test_0000006,19,57,19
8,video_test_0000007,276,279,12
9,video_test_0000007,281,285,12
10,video_test_0000007,310,313,12
11,video_test_0000007,316,319,12
12,video_test_0000007,347,350,12
13,video_test_0000007,352,355,12
14,video_test_0000007,359,362,12
15,video_test_0000007,391,395,12
16,video_test_0000007,399,402,12
17,video_test_0000007,431,434,12
18,video_test_0000007,436,440,12
19,video_test_0000007,468,472,12
20,video_test_0000011,0,12,15
21,video_test_0000011,15,32,15
22,video_test_0000011,41,60,15
23,video_test_0000011,62,78,15
24,video_test_0000026,43,43,17
25,video_test_0000026,45,47,17
26,video_test_0000026,48,50,17
27,video_test_0000026,52,53,17
28,video_test_0000026,54,54,17
29,video_test_0000026,56,58,17
30,video_test_0000026,60,62,17
31,video_test_0000026,63,65,17
32,video_test_0000026,67,68,17
33,video_test_0000026,76,77,17
34,video_test_0000026,79,80,17
35,video_test_0000026,81,82,17
36,video_test_0000026,84,86,17
37,video_test_0000026,90,91,17
38,video_test_0000026,95,96,17
39,video_test_0000026,118,120,17
40,video_test_0000026,121,122,17
41,video_test_0000026,124,125,17
42,video_test_0000026,126,128,17
43,video_test_0000026,142,144,17
44,video_test_0000026,145,147,17
45,video_test_0000026,149,150,17
46,video_test_0000026,152,153,17
47,video_test_0000026,155,156,17
48,video_test_0000026,159,160,17
49,video_test_0000026,162,162,17
50,video_test_0000026,173,175,17
51,video_test_0000026,177,178,17
52,video_test_0000026,180,181,17
53,video_test_0000026,182,184,17
54,video_test_0000026,186,187,17
55,video_test_0000026,187,188,17
56,video_test_0000026,190,192,17
57,video_test_0000026,193,194,17
58,video_test_0000026,196,197,17
59,video_test_0000026,199,201,17
60,video_test_0000026,201,204,17
61,video_test_0000026,205,206,17
62,video_test_0000028,20,24,9
63,video_test_0000028,29,33,9
64,video_test_0000028,38,40,9
65,video_test_0000028,42,44,9
66,video_test_0000028,45,47,9
67,video_test_0000028,55,58,9
68,video_test_0000028,61,64,9
69,video_test_0000028,67,70,9
70,video_test_0000028,72,77,9
71,video_test_0000028,94,97,9
72,video_test_0000028,100,104,9
73,video_test_0000028,105,109,9
74,video_test_0000028,114,117,9
75,video_test_0000028,132,136,9
76,video_test_0000039,1,4,17
77,video_test_0000039,5,7,17
78,video_test_0000039,7,9,17
79,video_test_0000039,11,12,17
80,video_test_0000039,14,16,17
81,video_test_0000039,17,18,17
82,video_test_0000039,46,48,17
83,video_test_0000039,49,52,17
84,video_test_0000039,53,54,17
85,video_test_0000039,67,68,17
86,video_test_0000039,112,121,17
87,video_test_0000039,126,128,17
88,video_test_0000039,160,162,17
89,video_test_0000039,168,170,17
90,video_test_0000039,181,184,17
91,video_test_0000045,2,9,18
92,video_test_0000045,13,24,18
93,video_test_0000045,65,71,18
94,video_test_0000045,93,103,18
95,video_test_0000045,111,114,18
96,video_test_0000045,123,125,18
97,video_test_0000045,130,130,18
98,video_test_0000045,131,132,18
99,video_test_0000045,138,140,18
100,video_test_0000045,171,176,18
101,video_test_0000045,191,195,18
102,video_test_0000045,225,228,18
103,video_test_0000045,33,42,15
104,video_test_0000045,46,62,15
105,video_test_0000045,74,85,15
106,video_test_0000045,127,129,15
107,video_test_0000045,130,130,15
108,video_test_0000045,131,132,15
109,video_test_0000045,132,138,15
110,video_test_0000045,156,165,15
111,video_test_0000045,213,225,15
112,video_test_0000045,226,228,15
113,video_test_0000046,128,133,9
114,video_test_0000046,147,151,9
115,video_test_0000046,79,84,9
116,video_test_0000046,170,174,9
117,video_test_0000051,52,56,2
118,video_test_0000051,67,70,2
119,video_test_0000051,80,82,2
120,video_test_0000051,94,98,2
121,video_test_0000051,107,110,2
122,video_test_0000058,2,27,3
123,video_test_0000058,27,114,3
124,video_test_0000062,1,5,13
125,video_test_0000062,10,14,13
126,video_test_0000073,4,10,18
127,video_test_0000073,22,23,18
128,video_test_0000073,37,43,18
129,video_test_0000073,50,54,18
130,video_test_0000085,171,173,7
131,video_test_0000085,213,217,7
